pharmacy	'fɑrməsi	'fɑːməsɪ	n::药房；配药学，药剂学；制药业；一批备用药品::a shop or a part of a shop where medicines are prepared and sold	college of pharmacy::药学院；药剂学院¦pharmacy equipment::药房设备	an all-night pharmacy::通宵药店	n::药房；[药]配药学，药剂学；制药业；一批备用药品::dispensary, officina	n::pharmacist:: 药剂师¦n::pharmacopoeia:: 药典，处方书；一批备用药品¦n::pharmaceutics:: 制药学；配药学		 pharma (药) + cy (学科) → 药剂学			
urchin		'əːtʃin	n:: 顽童； 小淘气::	sea urchin::海胆		n::顽童，淘气鬼；海胆；刺猥::monkey, elf			 “恶惩” → 小孩吓唬吓唬就算了， 可不能恶惩 → 小淘气			
vitalize	'vaitəlaiz	'vaitəlaiz	v:: 使有生气::to make vital, living, or alive; endow with life or vigour 			vt::赋予…生命；激发；使有生气::wake, inspire	adj::vital:: 至关重要的；生死攸关的；有活力的¦adv::vitally:: 极其；紧要地；生死攸关地¦n::vitality:: 活力，生气；生命力，生动性¦n::vitalism:: [生物] 活力论；[生物] 生机说¦n::vitalization:: 赋予生命					
polish	'pɑlɪʃ	'pɔliʃ	v::磨光，擦亮；使优美，润饰::to make something smooth, bright, and shiny by rubbing it¦n:: 擦光剂， 上光蜡::a liquid, powder, or other substance that you rub into a surface to make it smooth and shiny	nail polish::指甲油，趾甲油¦shoe polish::鞋油¦polish off::草草完成；打败¦polish up::改善；润色；使完美；使醉¦high polish::高度磨光¦spit and polish::n. （陆、海军等）过分注意整洁和闪亮的仪容；对服装过分的擦洗¦wax polish::上光蜡；蜡光剂¦mirror polish::镜面抛光	I spent all afternoon polishing the silver.::我整个下午都在擦拭银器。	n::[机]磨光，擦亮；上光剂，擦亮剂；优雅，精良::grace, buffing¦vt::[机]磨光，使发亮::furbish¦adj::波兰的::Polak	adj::polite:: 有礼貌的，客气的；文雅的；上流的；优雅的¦adj::polished:: 擦亮的；优美的；圆滑的¦n::politeness:: 有礼貌；优雅¦n::polishing:: [机] 抛光；[机] 磨光¦n::polisher:: 磨光器；磨亮的人；[机] 磨光机¦n::politesse:: 优雅；礼貌；（法）客气¦v::polished:: 擦亮（polish的过去式和过去分词）¦v::polishing:: [机] 磨光；擦亮；修正（polish的ing形式）		 波兰 (Polish) 产的擦光剂 (polish)			
cabinet	'kæbɪnət	'kæbinit	adj:: 内阁的::¦n::橱柜；内阁::the politicians with important positions in a government who meet to make decisions or advise the leader of the government	control cabinet::控制柜；操纵室¦kitchen cabinet::n. 政府首脑的参谋团；厨房的餐具柜¦cabinet meeting::内阁会议；大臣会议¦filing cabinet::档案橱柜¦cabinet minister::n. 大臣；阁僚¦file cabinet::文件柜；档案柜；文卷柜¦bathroom cabinet::浴室柜¦switch cabinet::开关柜；配电箱¦cabinet door::橱柜门¦tv cabinet::电视柜；小冰箱柜¦medicine cabinet::药柜；医药箱¦electrical cabinet::电器柜；电控箱¦distribution cabinet::接线箱；配电箱¦cabinet hardware::家具用小五金¦shadow cabinet::影子内阁；（政府首脑挑选的）顾问团¦electric cabinet::电控箱¦machine cabinet::机柜；联机室¦wall cabinet::壁橱，壁柜；嵌墙绸，墙面柜¦cabinet work::细木工；细木家具¦drying cabinet::干燥箱	The President chose loyal supporters to serve in his cabinet.::总统选择了忠诚的支持者到他的内阁服务。¦Every year we used the State of the Union as an organizing tool for the cabinet and staff to come up with new policy ideas, and then we worked hard on how best to present them.::每年国情咨文都被内阁和幕僚们作为我们提出新政策思路的一个组织工具，然后我们努力下功夫，让它们以最佳方式呈现在人们面前。	n::内阁；[家具]橱柜；展览艺术品的小陈列室::ambry, council of ministers¦adj::内阁的；私下的，秘密的::private, secret, underground, chamber, inside			 cabin (小屋) + et (小) → 陈列柜； 贮藏橱			
quip	kwɪp	kwip	n:: 嘲弄， 挖苦话； 双关语::		The commentators make endless quips about the players' appearance.::解说员们对球员们的外貌没完没了地说着俏皮话。	n::妙语；嘲弄；讽刺语::punch line, bon mot¦vi::嘲弄；讥讽::make game of, poke fun at¦vt::嘲弄::guy, monkey			 俏皮话 (quip) 说过头就是嘲弄 (quib)			
ostensible	ɑ'stɛnsəbl	ɔ'stensəbl	adj:: 可公开的；  表面的， 虚假的::seeming to be the reason for or the purpose of something, but usually hiding the real reason or purpose		The ostensible purpose of these meetings was to gather information on financial strategies.::这些会议声称旨在收集金融策略方面的信息。	adj::表面的；假装的::external, surface, affected, assumed, facial	adv::ostensibly:: 表面上；外表		 osten (显现) + ible (可…的) → 表面显现出来的 → 表面的			
principle	'prɪnsəpl	'prinsəpl	n:: 原理； 原则； 主义， 信念::the basic idea that a plan or system is based on	working principle::工作原理¦basic principle::基本原理¦on the principle of::根据...的原则¦design principle::设计原理¦operating principle::工作原理；操作原理¦guiding principle::指导原则¦operation principle::经营理念¦in principle::大体上，原则上¦of principle::有原则的¦fundamental principle::基本原则¦general principle::一般原则；一般原理；普遍原理¦on principle::根据原则¦first principle::第一原则；第一原理；基本原则¦principle of work::原理，工作原理¦management principle::管理原则；经营方针¦variational principle::[力]变分原理（等于variation principle）¦system principle::系统性原则¦reaction principle::n. 反应原理，反作用原理；反酌原理¦principle of operation::工作原理；操作原理¦superposition principle::[物]叠加原理	The general principle is that education should be available to all children up to the age of 16.::总的原则是，16 岁以下儿童都应该能接受教育。¦He called for a return to first principles (= the most important ideas ) of road safety for children.::他呼吁回归儿童道路安全的根本原则。¦Similar principles apply in the case of older children (= the principles are the same as others that have been mentioned ) .::类似的原则也适用于年纪大些的儿童。	n::原理，原则；主义，道义；本质，本义；根源，源泉::theory, mechanism, element, essence, parent	adj::principled:: 有原则的；有操守的		 prin (第一) + cip (取) + le → 原则上录取第一名 → 原则			
litigant	'lɪtɪɡənt	'litigənt	n:: 诉讼人::someone who is making a claim against someone or defending themselves against a claim in a court of law		Speech or reply by the third party and his litigant representative.::第三人及其诉讼代理人发言或者答辩。¦The self-admission in civil proceeding can confine adjudicative power and free the litigant of burden of proof.::民事诉讼中的自认，具有拘束审判权力和免除一方当事人举证责任的功能。	adj::诉讼的::contentious	adj::litigious:: 好诉讼的；好争论的¦n::litigation:: 诉讼；起诉¦n::litigator:: 诉讼律师；诉讼人¦vi::litigate:: 对簿法庭¦vt::litigate:: 在法庭相争；提出诉讼		 litig (打官司) + ant → 打官司的人 → 诉讼人			
tedious	'tidɪəs	'tiːdiəs	adj:: 乏味的， 单调的， 冗长的::something that is tedious continues for a long time and is not interesting		The work was tiring and tedious.::这工作既累人又枯燥。	adj::沉闷的；冗长乏味的::dreary, dreich	adv::tediously:: 沉闷地；冗长而乏味地¦n::tedium:: 沉闷；单调乏味；厌烦¦n::tediousness:: 沉闷；乏味					
source	sɔrs	sɔːs	n:: 电源::a thing, place, activity etc that you get something from	source code::源代码；源程序¦power source::电源，能源¦light source::光源¦source rock::源岩；生油岩层¦water source::水源¦open source::[计]开放源码；开放资源¦heat source::热源¦data source::数据源，数据发送器¦energy source::安瑞索思（公司名称）¦pollution source::污染源¦point source::点声源¦at source::在产地；在源头¦carbon source::碳源¦current source::电源；电链¦source material::原始资源¦information source::信息源；情报源¦source language::源语言¦signal source::n. 信号源¦voltage source::n. 电压电源¦source area::源区	They get their money from various sources.::他们从各种途径弄到钱。	n::来源；水源；原始资料::provenience, authorship						
initiate	ɪ'nɪʃɪet	i'niʃieit	v:: 开始， 发动::to arrange for something important to start, such as an official process or a new plan		They have decided to initiate legal proceedings against the newspaper.::他们决定向该报提起法律诉讼。¦Intellectuals have initiated a debate on terrorism.::知识分子就恐怖主义发起了辩论。	vt::开始，创始；发起；使初步了解::institute, start in¦n::开始；新加入者，接受初步知识者::beginning, threshold, opening, conception, fresh	n::initiation:: 启蒙，传授；开始；入会¦n::initiator:: 发起人，创始者；教导者；[计] 启动程序；引爆器		 in (进入) + it (去) + iate (使…) → 使进去 → 发动			
domestic	də'mɛstɪk	dəu'mestik	adj:: 家里的， 家庭的； 本国的； 驯养的::relating to or happening in one particular country and not involving any other countries	domestic market::国内市场¦domestic demand::国内需求；本地内部需求¦domestic product::国内产品；本地生产¦gross domestic product (gdp)::国内生产总值¦gross domestic product (GDP)::国内生产总值¦gross domestic product::国内生产总值¦domestic industry::家庭工业；手工业生产¦domestic economy::n. 家庭经济；家政¦domestic sewage::生活污水；家庭污水¦domestic trade::国内贸易¦domestic consumption::国内消费；生活用电量；家庭用水量¦domestic violence::家庭暴力¦domestic situation::国内形势¦domestic water::生活用水；家庭用水¦domestic animal::家畜¦expand domestic demand::扩大内需¦domestic service::n. 国内航线¦domestic sale::内销¦domestic garbage::生活垃圾¦domestic affairs::国内事务；家事	Unfortunately his domestic life wasn’t very happy.::不幸的是，他的家庭生活并不幸福。	adj::国内的；家庭的；驯养的；一心只管家务的::internal, household, home, family¦n::国货；佣人::servant	adj::domesticated:: 家养的；驯服的；喜欢家庭生活的¦adv::domestically:: 国内地；家庭式地；适合国内地¦n::domestication:: 驯养；教化¦n::domesticity:: 家庭生活；专心于家务；对家庭的挚爱¦v::domesticated:: 驯养（domesticate的过去分词）；使习惯于家庭生活¦vi::domesticate:: 驯养；使习惯于或喜爱家务和家庭生活¦vt::domesticate:: 驯养；教化；引进		 dom (屋子) + est + ic (与…有关的) → 与屋子有关的 → 家庭的			
infirmary	ɪn'fɝməri	in'fəːməri	n:: 医院； 医务室::a hospital – often used in the names of hospitals in Britain		Dallas:Something has attached itself to him. We have to get him to the infirmary right away.::达拉斯：有东西寄生在他体内。我们必须马上把他送进医务室。	n::医务室；医院；养老院::hospital, old people's home			来自infirm (虚弱的) + ary (场所) → 医院； 医务室			
prepossessing	,pripə'zɛsɪŋ	ˌpriːpə'zesiŋ	adj:: 讨人喜欢的； 给人好感的::looking attractive or pleasant		a prepossessing smile::迷人的微笑	adj::给人好感的；有魅力的；引人注意的::attractive, catching	n::prepossession:: 偏爱；先入观念；全神贯注¦vt::prepossess:: 使先具有；预先灌输情感（或思想等）；使…先怀偏见；先有好感		来自prepossess (使先拥有) + ing → 最先拥有车， 格外引人注意			
prim	prɪm	prim	adj:: 整齐的::prim clothes are neat and formal	prim and proper::循规蹈矩的；一本正经的	a prim suit::一套正装	adj::拘谨的；整洁的；呆板的::mechanical, wooden, formal, dead	adj::prime:: 主要的；最好的；基本的¦adv::prime:: 极好地¦adv::primly:: 拘谨地¦n::prime:: 初期；青年；精华；全盛时期¦n::primer:: 初级读本；识字课本；原始物¦n::primality:: 原始；首要；根本；素性¦n::primness:: 呆滞；拘谨；一本正经¦vi::prime:: 作准备¦vt::prime:: 使准备好；填装					
terrestrial	tə'rɛstrɪəl	ti'restriəl	adj:: 陆地的； 陆栖的::relating to the Earth rather than to the moon or other  planets 	terrestrial ecosystem::陆地生态系统¦terrestrial heat::地热¦terrestrial stress::地应力¦terrestrial facies::陆相¦terrestrial globe::n. 地球；地球仪¦terrestrial animals::陆栖动物；陆生动物¦terrestrial plant::陆生植物	...terrestrial life forms.::…地球上的生命形态。	adj::[天]地球的；[生物]陆地的，陆生的；人间的::earthly, telluric	adj::terrene:: 土的；尘世的；现世的¦n::terrarium:: 玻璃容器；陆地动物饲养所¦n::terrene:: 地球；陆地		 terr (地) + estr + ial → 陆地的； 陆栖的			
smelt	smɛlt	smelt	v:: 冶炼::to melt a rock that contains metal in order to remove the metal	smell of::有…的气味；闻出…的味道¦sweet smell::闻起来香¦sense of smell::嗅觉¦bad smell::坏味道，坏气味¦fishy smell::鱼腥味，鱼臭¦smell the flowers::放松一下，休息一会儿¦smell the coffee::清醒过来，认识到事物的本质¦smell out::嗅出；察觉		vt::熔炼，冶炼；精炼::refine¦n::香鱼；[鱼]胡瓜鱼::ayu, sparling	n::smell:: 气味，嗅觉；臭味¦n::smelter:: 熔炉；冶金厂；熔炼工¦n::smelling:: 嗅诊；嗅气味¦n::smeltery:: 冶炼厂¦v::smelling:: 闻；发觉；发出气味（smell的ing形式）¦vi::smell:: 嗅，闻；有…气味¦vt::smell:: 嗅，闻；察觉到；发出…的气味					
vitality	vaɪ'tæləti	vai'tæləti	n:: 生命力， 活力::great energy and eagerness to do things	vigor and vitality::生机与活力	Despite her eighty years, Elsie was full of vitality.::尽管已80岁了，埃尔茜依然充满活力。	n::[生物]活力，生气；生命力，生动性::animation, pet, spring, vigor	adj::vital:: 至关重要的；生死攸关的；有活力的¦adv::vitally:: 极其；紧要地；生死攸关地¦n::vitalism:: [生物] 活力论；[生物] 生机说¦n::vitalist:: 活力论者¦n::vitalization:: 赋予生命¦n::vitalness:: 充满活力¦vt::vitalize:: 赋予…生命；激发；使有生气		来自vital (a. 生命的， 生机的)			
slovenly	'slʌvnli	'slʌvənli	adj:: 懒散的； 不修边幅的::lazy, untidy, and careless		slovenly habits::邋里邋遢的习惯¦a large slovenly woman::一个身材高大、不修边幅的女人¦a slovenly way of speaking::随便的说话方式	adj::懒散的；不整洁的；马虎的::slouchy, laid-back¦adv::邋遢地；马虎地；不整洁地::scruffily, untidily	n::sloven:: 懒散的人；不修边幅的人¦n::slovenliness:: 邋遢；马虎；懒散		来自sloven (不整洁的人， 懒鬼) + ly → 不修边幅的			
lackadaisical	,lækə'dezɪkl	ˌlækə'deizikəl	adj:: 懒洋洋的::not showing enough interest in something or not putting enough effort into it		David has a rather lackadaisical approach to his work.::戴维的工作态度有点懒散。	adj::懒洋洋的；无精打采的；伤感的::lazy, downhearted						
ravenous	'rævənəs	'rævinəs	adj:: 贪婪的， 渴望的， 狼吞虎咽的::		Amy realized that she had eaten nothing since leaving home that morning, and she was ravenous.::埃米意识到，她自己从早晨离开家门后什么东西都没有吃，她饿极了。	adj::[动]贪婪的；渴望的；狼吞虎咽的::eager, hungry, desired, anxious, sick	adj::raven:: 乌黑的¦adj::ravening:: 贪婪饥饿的；掠食的¦adv::ravenously:: 贪婪的；渴望的；大嚼地¦n::raven:: 掠夺，劫掠；大乌鸦¦vi::raven:: 掠夺；狼吞虎咽¦vt::raven:: 掠夺；狼吞虎咽		 乌鸦 (raven) 很贪婪 (ravenous)			
abbess	'æbɛs	'æbis	n:: 女修道院院长， 尼姑庵住持::a woman who is in charge of a  convent (=  a place where a group of  nun s  live  ) 		At age 43 she became abbess of her community.::43岁时她成为当地的女修道院院长。¦Once upon a time, there was an abbess in a small abbey .::很久以前，一个小修道院里有一个女修道院院长。¦Now the abbess is making her case for a religious life removed from worldly distractions-on the internet's world wide web.::如今，这位女修道院院长正在国际互联网路上的“全球网”超级档上为超凡拔俗的宗教生活阐明自己的立场。	n::女修道院院长；女庵主持::mother	n::abbey:: 大修道院，大寺院；修道院中全体修士或修女¦n::abbe:: 神父，僧侣；男修道院院长		来自abb(ey) (n. 修道士) + ess (女性) → 出色的女修道士 → 女修道院院长			
acquired	ə'kwaɪrd	ə'kwaiəd	adj:: 已获得的； 后天通过自己的努力得到的::	acquired immunodeficiency syndrome::获得性免疫缺陷综合症；爱滋病¦acquired taste::嗜好；爱好¦acquired immune deficiency syndrome::艾滋病；获得性免疫缺陷综合症¦acquired immunity::[医]后天免疫；获得免疫性¦acquired resistance::获得性耐药；获得抗病性		adj::[生物][医]后天的；[遗]已获得的；已成习惯的::aposteriori¦v::取得；捕获（acquire的过去分词）::captured, grabbed	n::acquiring:: 捕获，探测；习得；瞄准¦n::acquirement:: 取得；学得；才能；成就¦v::acquiring:: 获得（acquire的ing形式）¦vt::acquire:: 获得；取得；学到；捕获		 ac + quir(寻求) + ed → 通过后天努力寻求到的 → 后天通过自己的努力得到的			
stability	stə'bɪləti	stə'biləti	n:: 稳定 ， 安定::the condition of being steady and not changing	thermal stability::热稳定性，耐热性；热稳性¦stability analysis::稳定性分析；稳度分析¦slope stability::坡面稳定性¦high stability::高稳定性¦voltage stability::电压稳定；电压稳定度¦heat stability::热稳定性¦chemical stability::化学稳定性¦economic stability::经济稳定¦financial stability::金融稳定，财政稳定¦dynamic stability::动态稳定性；动力稳定度¦storage stability::贮存稳定性；耐储存性¦transient stability::[电]暂态稳定度¦stability control::稳定控制¦dimensional stability::尺寸稳定性；形稳性¦asymptotic stability::渐近稳定性，渐近稳定度¦temperature stability::温度稳定性；耐热性¦relative stability::相对稳定度，相对稳定性；稳定比值¦global stability::全局稳定性；整体稳定性；大范围稳定¦structural stability::结构稳定性¦stability test::稳定性试验	a period of relative stability::相对稳定的一段时期	n::稳定性；坚定，恒心::firmness, adament	adj::stable:: 稳定的；牢固的；坚定的¦adj::stabilized:: 稳定的；减摇的¦adj::stabile:: 稳定的；固着的¦adv::stably:: 平稳地；坚固地；安定地¦n::stable:: 马厩；牛棚¦n::stabilization:: 稳定；稳定化¦n::stabilizer:: [助剂] 稳定剂；稳定器；安定装置¦n::stabilizing:: 稳定化；稳定化处理¦n::stabile:: 固定的雕刻物¦n::stableness:: 稳定性¦v::stabilized:: 稳定（stabilize的过去分词）¦v::stabilizing:: 使安定（stabilize的ing形式）¦vi::stable:: 被关在马厩¦vi::stabilize:: 稳定，安定¦vi::stabilise:: 稳定；安定¦vt::stable:: 赶入马房¦vt::stabilize:: 使稳固，使安定¦vt::stabilise:: 使…坚固；使…安定；装稳定器（等于stablize）		 stab (le) (稳定的) + ility (性质) → 稳定 (性)			
radiate	'redɪet	'reidieit	v:: 放射， 辐射； 散布， 传播::if something radiates light or heat, or if light or heat radiates from something, the light or heat is sent out in all directions	radiate from::从……发出	The log fire radiated a warm cosy glow.::燃烧的原木发出温暖舒适的红光。	vt::[物]辐射；传播；流露；发射；广播::release, send, broadcast, beam, project¦vi::[物]辐射；流露；发光；从中心向各方伸展::shine on, light emission¦adj::[物]辐射状的，有射线的::spokewise	adj::radial:: 半径的；放射状的；光线的；光线状的¦adj::radiant:: 辐射的；容光焕发的；光芒四射的¦adj::radiating:: [物] 辐射的¦adv::radially:: 放射状地¦n::radiation:: 辐射；发光；放射物¦n::radial:: 射线，光线¦n::radiator:: 散热器；暖气片；辐射体¦n::radiant:: 光点；发光的物体¦n::radiance:: 辐射；光辉；发光；容光焕发¦n::radiancy:: 辐射，辐射率；光彩¦v::radiating:: 辐射（radiate的ing形式）		 radi (光线) + ate → 镭发光了 → 放射， 辐射			
tension	'tɛnʃən	'tenʃən	n:: 张力::a nervous worried feeling that makes it impossible for you to relax	surface tension::表面张力¦tension control::n. 张力控制¦interfacial tension::[物]界面张力¦high tension::[电]高电压¦tension stress::[物理]拉应力；张应力¦tension test::拉伸试验；张力试验¦uniaxial tension::单轴拉伸；单向拉伸；单轴向张力¦winding tension::缠绕张力¦tension force::张力¦tension strength::拉力强度¦tension device::张紧装置；拉紧装置；张力装置¦low tension::低压的；低电压；带低压的¦ease the tension::缓和紧张状况；缓和紧张局势¦axial tension::轴向拉力，轴心受拉¦belt tension::皮带张力¦nervous tension::神经紧张¦chain tension::链条张力¦initial tension::初张力¦critical surface tension::临界表面张力¦tension meter::拉力计，张力计；牵引测力计	The tension was becoming unbearable, and I wanted to scream.::这种紧张变得难以忍受，我真想大声尖叫。	n::张力，拉力；紧张，不安；电压::strain, intensity, stress¦vt::使紧张；使拉紧::stress, wind up	adj::tense:: 紧张的；拉紧的¦adj::tensile:: [力] 拉力的；可伸长的；可拉长的¦adj::tensed:: 紧的；紧张的¦adj::tensional:: 张力的；紧张的¦adv::tensely:: 紧张地；拉紧地¦n::tense:: 时态¦n::tensor:: [数] 张量；[解剖] 张肌¦n::tenseness:: 紧张；绷紧¦n::tensiometer:: 张力计；表面张力计；土壤湿度计¦n::tensity:: 紧张度，紧张¦v::tensed:: 拉紧；变为紧张（tense的过去分词）¦vi::tense:: 拉紧，变得紧张¦vt::tense:: 变得紧张；使拉紧					
reflection	rɪ'flɛkʃən	ri'flekʃən	n:: 反射； 映象， 倒影； 反省， 沉思::an image that you can see in a mirror, glass, or water	seismic reflection::地震波反射¦on reflection::经再三考虑¦reflection coefficient::反射系数¦total reflection::全反射¦reflection method::反射法；映射法；反射式探伤法；镜象法¦direct reflection::定向反射；镜面反射；直接反射¦diffuse reflection::漫反射¦internal reflection::内部反射，内反射¦total internal reflection::[光]全内反射¦mirror reflection::镜面反射；镜反射¦critical reflection::批判性反思；临界反射¦bragg reflection::布腊格氏反射（等于Bragg scattering）¦reflection of light::光的反射¦multiple reflection::多次反射，多重反射¦specular reflection::镜面反射；单向反射¦upon reflection::再考虑后¦reflection factor::反射因数；反射率¦reflection nebula::反射星云¦angle of reflection::反射角¦reflection grating::反射光栅	Can you see your reflection in the glass?::你能看到玻璃里你的影像吗？	n::[热][光][物]反射；沉思；映象::meditation, contemplation	adj::reflective:: 反射的；反映的；沉思的¦adj::reflected:: 反射的；得自他人的¦adj::reflecting:: 反射的；沉思的¦adv::reflectively:: 反映地；反照地¦n::reflector:: [光] 反射物，[光] 反射镜¦n::reflectance:: [物] 反射比¦n::reflectivity:: [物] 反射率；[光] 反射性；反射比¦n::reflectiveness:: 反省；沉思¦n::reflectometer:: [光] 反射计¦v::reflected:: 反射；思考（reflect的过去式和过去分词）¦v::reflecting:: 反射；表明；考虑（reflect的ing形式）¦vi::reflect:: 反射，映现；深思¦vt::reflect:: 反映；反射，照出；反省¦vt::reflectorize:: 加工使其能反射光线					
tenuous	'tɛnjuəs	'tenjuəs	adj:: 簿的； 稀薄的， 空洞无力的::		For now, the band’s travel plans are tenuous.::乐队的巡演计划暂时还没确定。	adj::纤细的；稀薄的；贫乏的::poor, rare, thin, subtle	adv::tenuously:: 精细地¦n::tenuity:: 稀薄；贫乏；纤细；微弱		 tenu (薄； 细) + ous → 薄的			
winsome	'wɪnsəm	'winsəm	adj:: 迷人的::behaving in a pleasant and attractive way		a winsome smile::迷人的微笑	adj::迷人的；可爱的；引人注目的::lovely, attractive, taking, pretty, killing			来自win (赢) + some (…的) → 漂亮的人一般胜算更大 → 迷人的			
ultimate	ˈʌltəmɪt	'ʌltimət	adj:: 最后的， 最终的； 根本的::someone’s ultimate aim is their main and most important aim, that they hope to achieve in the future	ultimate goal::最终目标；终极目标¦ultimate strength::极限强度，强度极限¦ultimate bearing capacity::极限承载力，极限承载量；轴承极限能力，承载量¦ultimate objective::最终目标；最极目标¦ultimate load::极限载荷¦ultimate value::极限值；最后值；最大值¦ultimate concern::终极关怀¦ultimate capacity::[电]极限容量；[电]总功率；最终产量¦ultimate analysis::元素分析；最后分析¦ultimate tensile strength::极限抗拉强度¦ultimate destination::最终目的地¦ultimate state::极限状态¦ultimate reality::上帝；最高实在¦ultimate stress::[化]极限应力；最大应力¦ultimate consumer::末级消费者；最后消费者¦ultimate pressure::极限压强；极限压力¦ultimate strain::极限应变，临界应变¦ultimate limit state::极限状态；最大极限状态¦ultimate output::极限输出；极限输出功率；极限容量，最大功率¦ultimate elongation::破裂伸长；极限伸长	The ultimate outcome of the experiment cannot be predicted.::试验的最后结果无法预测。	adj::最终的；[物]极限的；根本的::final, organic, fundamental, radical, underlying¦n::终极；根本；基本原则::telos, fundamental principle	adj::ultima:: 最终的；最后的¦adv::ultimately:: 最后；根本；基本上¦n::ultimatum:: 最后通牒；最后结论；基本原理¦n::ultima:: 尾音节¦n::ultimateness:: 结论；终结；终极		 ultim (最后的) + ate (…的) → 最后的； 最终的			
ballad	'bæləd	'bæləd	n:: 民歌； 歌谣； 叙事歌； 流行歌曲； 情歌::a slow love song		...an eighteenth century ballad about some lost children called the Babes in the Wood.::…一首关于迷路儿童的名为《丛林中的宝贝》的18世纪民间叙事诗。	n::歌谣，民谣；叙事歌谣；流行抒情歌曲::derry, volkslied	n::balladeer:: 民谣歌手		 手拿小球 (ball)， 嘴唱歌 (ballad)			
caustic	'kɔstɪk	'kɔːstik	adj:: 腐蚀性的； 刻薄的::a caustic substance can burn through things by chemical action	caustic soda::[化]苛性钠；氢氧化钠¦spent caustic::废碱液¦caustic potash::苛性钾¦caustic alkali::[化]苛性碱¦caustic lime::生石灰；苛性石灰¦caustic solution::苛性碱溶液¦caustic wash::碱洗；氢氧化钠洗	caustic soda (= a chemical used for cleaning things )::苛性钠，烧碱	adj::[化学]腐蚀性的；苛性的；刻薄的；焦散的::acid, vitriolic¦n::[助剂]腐蚀剂；[化学]苛性钠；焦散曲线::corrosive agent, cauterant	adv::caustically:: 挖苦地；腐蚀地；讥讽地		 caus (烧灼) + tic → 腐蚀性的			
prosecute	'prɑsɪ'kjʊt	'prɔsikjuːt	v:: 实行， 从事； 告发， 起诉::to charge someone with a crime and try to show that they are guilty of it in a court of law		Shoplifters will be prosecuted.::在商店行窃者将被起诉。	vt::检举；贯彻；从事；依法进行::carry out, undertake, pursue, address, have¦vi::起诉；告发；作检察官::law, take legal action	n::prosecution:: 起诉，检举；进行；经营¦n::prosecutor:: 检察官；公诉人；[法] 起诉人；实行者		 pro (代理) + secu (跟随) + te → 代理他人对…提起公诉 → 起诉			
misunderstand	,mɪsʌndɚ'stænd	ˌmisʌndə'stænd	vt:: 误解， 误会::to fail to understand someone or something correctly		Rachel, you must have misunderstood her! Ellie would never say something like that.::雷切尔，你一定是误会她了！埃莉绝不会说那样的话。¦Don’t misunderstand me. She’s a very nice person when you get to know her.::不要误解我的意思。你了解她后就会知道她是个很好的人。	vt::误解；误会::misconstrue, misread	adj::misunderstood:: 被误解的¦n::misunderstanding:: 误解；误会；不和¦v::misunderstood:: 误解，误会（misunderstand的过去式）					
hydrocarbon	,haɪdrə'kɑrbən	ˌhaidrəu'kɑːbən	n:: 碳氢化合物::a chemical compound that consists of  hydrogen  and  carbon  , such as coal or gas	aromatic hydrocarbon::芳族烃¦light hydrocarbon::轻质烃¦saturated hydrocarbon::n. [化]饱和烃¦liquid hydrocarbon::液烃¦hydrocarbon gas::烃气；碳氢化合物气体¦petroleum hydrocarbon::石油烃¦polycyclic aromatic hydrocarbon::多环芳烃；稠环芳烃¦halogenated hydrocarbon::卤代烃¦hydrocarbon fuel::n. 碳氢燃料；烃类燃料¦aliphatic hydrocarbon::脂肪族烃¦unsaturated hydrocarbon::[化]不饱和烃¦hydrocarbon oil::烃油¦hydrocarbon processing::烃加工	A hydrocarbon was known to be either an alkene or alkane.::某碳氢化合物已知可能是烯烃或是烷烃。¦As one of substitutes for fire-extinguishing agent of halogenated hydrocarbon, fire-extinguishing agent of halogenated hydrocarbon produces lots of acid gases.::作为哈龙灭火剂气体替代物之一的卤代烃类灭火剂用于灭火时会产生大量的卤化氢酸性气体。		adj::hydrated:: 含水的¦n::hydrate:: 水合物；氢氧化物¦n::hydrocracking:: [油气] 加氢裂化；氢化裂解¦v::hydrated:: 与水化合；成水合物（hydrate的过去分词形式）¦v::hydrocracking:: [油气] 加氢裂化（hydrocrack的ing形式）；氢化裂解¦vi::hydrate:: 与水化合¦vt::hydrate:: 使成水化合物					
ampere	æm'pɪr	'æmpɛə	n:: 安培::An ampere is a unit used for measuring electric current. The abbreviation amp is also used. 	ampere meter::电流表，安培计	A unit of electrical resistance equal to that of a conductor in which a current of one ampere is produced by a potential of one volt across its terminals.::欧姆电阻单位，一段导体两端的电位差为伏特时产生一安培电流，那么这段导体的电阻就等于欧姆。		n::amperage:: [电磁] 安培数					
precocious	prɪ'koʃəs	pri'kəuʃəs	adj:: 早熟的::a precocious child shows intelligence or skill at a very young age, or behaves in an adult way – sometimes used to show disapproval in British English	precocious puberty::性早熟；早熟青春期；性早熟症	a precocious child who walked and talked early::走路和说话都早的早熟儿童	adj::早熟的；过早发育的::early, ratheripe	adj::precocial:: 早熟性的¦adv::precociously:: 早熟地¦n::precocity:: （人或植物等的）早熟¦n::precociousness:: 早熟		 pre (预先) + coci (看作coct， 烹调) + ous (…的) → 预先烹调好的 → 早熟的			
pecuniary	pɪ'kjunɪɛri	pi'kjuːniəri	adj:: 金钱的， 金钱上的::relating to or consisting of money		He was trying to get a pecuniary advantage for himself.::他拼命为自己敛财。	adj::金钱的；[经管]应罚款的::amerciable, nummary			 pecuni (钱财) + ary → 金钱的			
